texto,texto_limpio,categoria_id,categoria_nombre,respuesta_generalizada
Reexpedición orden de matricula resuelta No está la orden en el portal pagos en línea Por favor envíenmela por este medio por favor,Reexpedición orden de matricula resuelta No está la orden en el portal pagos en línea Por favor envíenmela por este medio por favor,6,Pagos en línea / PSE,"Cuando el usuario presenta inconvenientes para realizar un pago en línea, se debe verificar la situación de la orden, el medio de pago y el procedimiento utilizado. Si existe un error durante el proceso o el enlace de pago no funciona, se debe revisar el caso y orientar al usuario sobre el procedimiento correspondiente para completar el pago."
"Solicitud factura electrónica segundo semestre Buenos días. Atentamente me permito solicitar la factura electrónica emitida a Global Seguros por concepto de pago del II semestre de Administración de empresas del estudiante Juan Felipe Garnica Castillo, C.C. 1.021.634.356. Lo anterior, en mi calidad de tomadora de la póliza de Global seguros. Mil gracias. Cordialmente,  Helga Castillo CorredorC.C. 51.994.555Te. 3030 2878187","Solicitud factura electrónica segundo semestre Buenos días. Atentamente me permito solicitar la factura electrónica emitida a Global Seguros por concepto de pago del II semestre de Administración de empresas del estudiante Juan Felipe Garnica Castillo, C.C. 1.021.634.356. Lo anterior, en mi calidad de tomadora de la póliza de Global seguros. Mil gracias.",5,Órdenes de pago,"Las solicitudes relacionadas con órdenes de pago deben ser revisadas de acuerdo con el tipo de trámite requerido. Se debe validar la información de la orden y, según el caso, gestionar su generación, modificación, consulta o corrección. Al usuario se le debe indicar el estado de la solicitud y las acciones necesarias para continuar el trámite."
"Solicitud de Constancia de pago de Orden de matrícula 202610 Equipo Mesa Estratégica de Servicios, buenas tardes.
En atención con el asunto, solicito su amable gestión para tramitar la constancia del pago correspondiente a la Orden de Pago 161336 del periodo 202610 del programa de Doctorado en Estudios Políticos. Lo anterior, para complementar documentación que me solicita el Fondo Nacional del Ahorro FNA en mi trámite de retiro de cesantías. Muchas gracias!!","Solicitud de Constancia de pago de Orden de matrícula 202610 Equipo Mesa Estratégica de Servicios, buenas tardes.
En atención con el asunto, solicito su amable gestión para tramitar la constancia del pago correspondiente a la Orden de Pago 161336 del periodo 202610 del programa de Doctorado en Estudios Políticos. Lo anterior, para complementar documentación que me solicita el Fondo Nacional del Ahorro FNA en mi trámite de retiro de cesantías. Muchas gracias!!",7,Pago de derechos de grado,"Para las solicitudes relacionadas con el pago de derechos de grado, se debe verificar la información correspondiente al trámite y al pago realizado. Cuando el usuario solicite orientación, se debe indicar el procedimiento aplicable y, cuando presente un comprobante, validar la información necesaria para continuar con el proceso de grado."
"Credenciales de AVANTE - REQ 2026-020938 - REQ 2026-022382 resuelta En la facultad me informaron que el certificado de estudios lo tengo que hacer por avante. Soy egresada y no conozco dicha herramienta. 
El vie, 13 mar 2026 a las 21:42, <***CORREO***>",Credenciales de AVANTE - REQ 2026-020938 - REQ 2026-022382 resuelta En la facultad me informaron que el certificado de estudios lo tengo que hacer por avante. Soy egresada y no conozco dicha herramienta.,9,Certificados académicos,"Los certificados académicos se gestionan de acuerdo con el tipo de certificación solicitada, como certificados de notas, estudios, título o terminación de materias. Se debe identificar el certificado requerido, verificar las condiciones para su expedición y orientar al usuario sobre el proceso correspondiente."
"Notificación de bloqueo. Dando alcance 
Remito otra factura para demostrar el paz y salvo,
Un saludo,","Notificación de bloqueo. Dando alcance 
Remito otra factura para demostrar el paz y salvo,
Un saludo,",8,Paz y Salvo para grado,"El Paz y Salvo requerido para grado debe ser gestionado de acuerdo con el estado de las obligaciones y validaciones institucionales asociadas al estudiante. Ante una consulta o seguimiento, se debe revisar el estado del trámite y comunicar al usuario si existe alguna gestión pendiente para completar el proceso."
Credenciales inicio sesión bancos de datos jurídicos - REQ 2026-023722 Tipo de documento: cédula de ciudadanía.Número de ***DOCUMENTO***Nombres y apellidos: ANA ISABELA SALGADO FONTALTeléfono principal de contacto: 3106561853Teléfono secundario de contacto:3176994183Correo institucional*: ***CORREO***ón de residencia: CALLE 13 108 -100 APT 901 T 2País de residencia: COLOMBIACiudad de residencia: CALI,Credenciales inicio sesión bancos de datos jurídicos - REQ 2026-023722 Tipo de documento: cédula de ciudadanía.Número de ***DOCUMENTO***Nombres y apellidos: ANA ISABELA SALGADO FONTAL,13,Bancos de datos jurídicos,"Para acceder a los bancos de datos jurídicos, se debe verificar que el usuario tenga el registro y los permisos correspondientes. Cuando se requiera la creación de un usuario o existan problemas con las credenciales o el acceso, se debe realizar la validación y gestión necesaria para habilitar el servicio."
"Solicitud de actualización de estado de matrícula y activación de carnet estudiantil - Laura Encarnación RD8370073 Estimados/as de la Mesa Estratégica de Servicios,Espero se encuentren muy bien.
Les escribo para solicitar amablemente su apoyo con la actualización del estado de mi matrícula en el sistema y la activación de mi carnet estudiantil para el semestre actual.
Actualmente me encuentro cursando el último semestre de mi maestría y desarrollando mi proyecto de grado. Sin embargo, mi carnet aparece inactivo, lo que me está generando varias dificultades para acceder a servicios fundamentales de la universidad, como el ingreso a la biblioteca, el préstamo de libros y el uso de la ruta institucional, entre otros recursos que necesito para continuar con mis actividades académicas.
Según tengo entendido, la entidad que financia mi beca ya habría realizado el pago correspondiente a la matrícula del semestre. Por esta razón, quisiera consultar si es posible verificar el estado del pago o ayudarme con la actualización de mi registro para poder habilitar nuevamente mi carnet y así acceder con normalidad a los servicios universitarios.
Les agradecería mucho su orientación y apoyo para poder resolver esta situación lo antes posible. Quedo muy atento a cualquier información adicional o documento que requieran de mi parte.
Muchas gracias por su tiempo y ayuda.
Cordialmente,Laura Sofía Encarnación PascualRD8370073","Solicitud de actualización de estado de matrícula y activación de carnet estudiantil - Laura Encarnación RD8370073 Estimados/as de la Mesa Estratégica de Servicios,Espero se encuentren muy bien.
Les escribo para solicitar amablemente su apoyo con la actualización del estado de mi matrícula en el sistema y la activación de mi carnet estudiantil para el semestre actual.
Actualmente me encuentro cursando el último semestre de mi maestría y desarrollando mi proyecto de grado. Sin embargo, mi carnet aparece inactivo, lo que me está generando varias dificultades para acceder a servicios fundamentales de la universidad, como el ingreso a la biblioteca, el préstamo de libros y el uso de la ruta institucional, entre otros recursos que necesito para continuar con mis actividades académicas.
Según tengo entendido, la entidad que financia mi beca ya habría realizado el pago correspondiente a la matrícula del semestre. Por esta razón, quisiera consultar si es posible verificar el estado del pago o ayudarme con la actualización de mi registro para poder habilitar nuevamente mi carnet y así acceder con normalidad a los servicios universitarios.
Les agradecería mucho su orientación y apoyo para poder resolver esta situación lo antes posible. Quedo muy atento a cualquier información adicional o documento que requieran de mi parte.
Muchas gracias por su tiempo y ayuda.",9,Certificados académicos,"Los certificados académicos se gestionan de acuerdo con el tipo de certificación solicitada, como certificados de notas, estudios, título o terminación de materias. Se debe identificar el certificado requerido, verificar las condiciones para su expedición y orientar al usuario sobre el proceso correspondiente."
"Problemas con el carné virtual Estimados, buenas tardes,Una vez se actualizó mi información respecto de mi estatus con la universidad (era egresada y pasé a ser estudiante de posgrado) intenté ingresar en la aplicación de la universidad a la sección donde se encuentra el carné; sin embargo, no cargó. Inicialmente pensé que podía tratarse de un problema con mi conexión a internet, por lo que cambié de red, pero el inconveniente persistió.Esperé un par de días para intentarlo nuevamente, pero la aplicación continúa presentando el mismo problema al ingresar a la sección del carné. Adjunto una imagen de cómo aparece la aplicación para su ***URL*** atenta a cualquier solución que me puedan brindar.
Saludos,","Problemas con el carné virtual Estimados, buenas tardes,Una vez se actualizó mi información respecto de mi estatus con la universidad (era egresada y pasé a ser estudiante de posgrado) intenté ingresar en la aplicación de la universidad a la sección donde se encuentra el carné; sin embargo, no cargó. Inicialmente pensé que podía tratarse de un problema con mi conexión a internet, por lo que cambié de red, pero el inconveniente persistió.Esperé un par de días para intentarlo nuevamente, pero la aplicación continúa presentando el mismo problema al ingresar a la sección del carné. Adjunto una imagen de cómo aparece la aplicación para su ***URL*** atenta a cualquier solución que me puedan brindar.
Saludos,",4,Problemas de acceso a Avante,"Cuando el usuario no puede ingresar a Avante o presenta errores durante el acceso, se debe verificar que sus credenciales y permisos se encuentren habilitados y revisar la situación específica presentada. Si el problema corresponde a un inconveniente de acceso o configuración, se debe realizar la gestión necesaria para restablecer el ingreso a la plataforma."
"Activación carné digital Buen día, espero este correo les encuentre bien.
Escribo porque en la app de la universidad no he podido activar el carné y me pide escribir a la facultad. Ya realicé este proceso y luego de haber sido remitido al área correspondiente, el problema aún persiste.
Agradezco enormemente, de antemano, su ayuda para poder hacer la respectiva activación.
Cordialmente,
Eduardo Cepeda MeloMóvil ***TELEFONO***","Activación carné digital Buen día, espero este correo les encuentre bien.
Escribo porque en la app de la universidad no he podido activar el carné y me pide escribir a la facultad. Ya realicé este proceso y luego de haber sido remitido al área correspondiente, el problema aún persiste.
Agradezco enormemente, de antemano, su ayuda para poder hacer la respectiva activación.",2,Acceso y recuperación del correo institucional,"Para recuperar el acceso al correo institucional, el usuario debe realizar el proceso institucional de recuperación de contraseña cuando este se encuentre disponible. Si la cuenta está bloqueada, deshabilitada o el proceso de recuperación no funciona, se debe validar el estado de la cuenta y realizar la gestión necesaria para restablecer el acceso."
"Solicitud excepcional de devolución parcial de matrícula por fuerza mayor_Cristian Alejandro Alonso Sanabria_1000588997 Buen día señores MES Atentamente remitimos solicitud del estudiante      Cordialmente,  Departamento de TesoreríaDirección Financiera Teléfono ***TELEFONO***, ext. 4114Calle 12 nº 1-17 este, edificio A, piso ***CORREO*** la página web de la Dirección Financiera para conocer información actualizada sobre nuestros servicios y procedimientos",Solicitud excepcional de devolución parcial de matrícula por fuerza mayor_Cristian Alejandro Alonso Sanabria_1000588997 Buen día señores MES Atentamente remitimos solicitud del estudiante,20,Matrícula y órdenes de matrícula,"Las solicitudes relacionadas con matrícula y órdenes de matrícula deben ser atendidas verificando el estado académico y administrativo del estudiante y la información de la orden correspondiente. Según el caso, se debe gestionar la generación, modificación o corrección de la orden y orientar al usuario sobre los pasos necesarios para continuar con su matrícula."
"Acuerdo de pago Programa de Becas Crédito al Talento Fundación Bolívar Davivienda Universidad Externado Buen día,Espero se encuentren muy bien,
Soy Pedro Esteban Sua Beltran, identificado con la ***DOCUMENTO***, me gustaría saber como es el proceso para iniciar el plan de pagos y si es posible realizar abonos adicionales a la cuota, me pueden dar información. Ya finalizó el periodo de gracia de la beca al talento de seguros bolívar, pero en la plataforma de educación estrella no me aparece aún el plan de pagos.
Quedo atento a su respuesta, muchas ***URL*** saludo,Pedro Sua","Acuerdo de pago Programa de Becas Crédito al Talento Fundación Bolívar Davivienda Universidad Externado Buen día,Espero se encuentren muy bien,
Soy Pedro Esteban Sua Beltran, identificado con la ***DOCUMENTO***, me gustaría saber como es el proceso para iniciar el plan de pagos y si es posible realizar abonos adicionales a la cuota, me pueden dar información. Ya finalizó el periodo de gracia de la beca al talento de seguros bolívar, pero en la plataforma de educación estrella no me aparece aún el plan de pagos.
Quedo atento a su respuesta, muchas ***URL*** saludo,Pedro Sua",5,Órdenes de pago,"Las solicitudes relacionadas con órdenes de pago deben ser revisadas de acuerdo con el tipo de trámite requerido. Se debe validar la información de la orden y, según el caso, gestionar su generación, modificación, consulta o corrección. Al usuario se le debe indicar el estado de la solicitud y las acciones necesarias para continuar el trámite."
"Importante_ Liberación Orden de Pago Derechos de Grado _Juan Posada Estimados buen día, Solicitamos amablemente su valiosa colaboración para liberar al siguiente estudiante, con el fin de que se pueda generar la orden de pago correspondiente al recibo de derechos de grado, en relación con el evento de graduación 17450. Agradecemos su pronta respuesta, teniendo en cuenta que anteriormente ya se le generó una orden.    Gracias y quedamos atentos Cordial saludo,  GISSELLE GIOVANNA FORERO ROMEROCoordinadora de Registro y AseguramientoFACULTAD DE CONTADURÍA PÚBLICA  Teléfono ***TELEFONO***, ext. 1346Calle 12 n.º 1-17 este, edificio D, piso 4 ***CORREO*** Enviado por: Geraldine B","Importante_ Liberación Orden de Pago Derechos de Grado _Juan Posada Estimados buen día, Solicitamos amablemente su valiosa colaboración para liberar al siguiente estudiante, con el fin de que se pueda generar la orden de pago correspondiente al recibo de derechos de grado, en relación con el evento de graduación 17450. Agradecemos su pronta respuesta, teniendo en cuenta que anteriormente ya se le generó una orden.    Gracias y quedamos atentos Cordial saludo,  GISSELLE GIOVANNA FORERO ROMERO",7,Pago de derechos de grado,"Para las solicitudes relacionadas con el pago de derechos de grado, se debe verificar la información correspondiente al trámite y al pago realizado. Cuando el usuario solicite orientación, se debe indicar el procedimiento aplicable y, cuando presente un comprobante, validar la información necesaria para continuar con el proceso de grado."
"Información de grados año 2026 - Especializaciones Buenas ***URL*** un cordial ***URL*** medio del presente, les informo que ya fui notificada del ingreso del pago pendiente por valor de $773.000, por lo cual actualmente me encuentro al día con mis obligaciones financieras con la ***URL*** muy amablemente me puedan confirmar cuáles son los siguientes pasos dentro del proceso y en qué momento me será enviado el recibo correspondiente al concepto de derechos de grado, con el fin de continuar oportunamente con el trámite.Quedo muy atenta a su confirmación para poder ***URL*** gracias por su atención y ***URL***
Milena Torres
El mié, 11 mar 2026 a las 15:22, Milena Torres (<***CORREO***>)","Información de grados año 2026 - Especializaciones Buenas ***URL*** un cordial ***URL*** medio del presente, les informo que ya fui notificada del ingreso del pago pendiente por valor de $773.000, por lo cual actualmente me encuentro al día con mis obligaciones financieras con la ***URL*** muy amablemente me puedan confirmar cuáles son los siguientes pasos dentro del proceso y en qué momento me será enviado el recibo correspondiente al concepto de derechos de grado, con el fin de continuar oportunamente con el trámite.Quedo muy atenta a su confirmación para poder ***URL*** gracias por su atención y ***URL***
Milena Torres
El mié, 11 mar 2026 a las 15:22, Milena Torres (<***CORREO***>)",10,Certificados financieros,"Las solicitudes de certificados financieros deben ser atendidas identificando el tipo de información requerida, por ejemplo valores pagados, información del programa o financiación. Se debe validar la información financiera disponible y orientar al usuario sobre la certificación que corresponde a su solicitud."
Pagos derechos de grado. 002603469555,Pagos derechos de grado. 002603469555,7,Pago de derechos de grado,"Para las solicitudes relacionadas con el pago de derechos de grado, se debe verificar la información correspondiente al trámite y al pago realizado. Cuando el usuario solicite orientación, se debe indicar el procedimiento aplicable y, cuando presente un comprobante, validar la información necesaria para continuar con el proceso de grado."
"SOLICITUD DE APOYO PARA PODER INGRESAR A ACTUALIZAR DATOS PARA DILIGENCIAR FORMULARIO DE GRADO Bogotá D.C. 13 de marzo de 2026
Respetados, MESA DE AYUDA, UNIVERSIDAD EXTERNADO DE COLOMBIA, Bogotá D.C. 
Cordial y extenso saludo, 
María Alejandra Castaño García identificada con cédula de ciudadanía número 1.058.821.104 expedida en Neira, Caldas, soy estudiante de Maestría en Derecho Público 2024 - 2025 de la Universidad Externado de Colombia sede Bogotá D.C., ya aprobé las materias y sustenté con aprobación la tesis de investigación, razón por la cual deseo diligenciar el formulario de solicitud de grado, el cual me pide ingresar con mi usuario y contraseña a dicha plataforma para actualizar datos sin embargo no me ha sido posible pues dice que el usuario o contraseña no son correctas al igual que pasa al momento de ingresar a AVANTE, en razón a lo anterior, solicito apoyo para poder ingresar a dichas plataformas y poder culminar mi solicitud de grado. 
Atentamente,","SOLICITUD DE APOYO PARA PODER INGRESAR A ACTUALIZAR DATOS PARA DILIGENCIAR FORMULARIO DE GRADO Bogotá D.C. 13 de marzo de 2026
Respetados, MESA DE AYUDA, UNIVERSIDAD EXTERNADO DE COLOMBIA, Bogotá D.C. 
Cordial y extenso saludo, 
María Alejandra Castaño García identificada con cédula de ciudadanía número 1.058.821.104 expedida en Neira, Caldas, soy estudiante de Maestría en Derecho Público 2024 - 2025 de la Universidad Externado de Colombia sede Bogotá D.C., ya aprobé las materias y sustenté con aprobación la tesis de investigación, razón por la cual deseo diligenciar el formulario de solicitud de grado, el cual me pide ingresar con mi usuario y contraseña a dicha plataforma para actualizar datos sin embargo no me ha sido posible pues dice que el usuario o contraseña no son correctas al igual que pasa al momento de ingresar a AVANTE, en razón a lo anterior, solicito apoyo para poder ingresar a dichas plataformas y poder culminar mi solicitud de grado.",9,Certificados académicos,"Los certificados académicos se gestionan de acuerdo con el tipo de certificación solicitada, como certificados de notas, estudios, título o terminación de materias. Se debe identificar el certificado requerido, verificar las condiciones para su expedición y orientar al usuario sobre el proceso correspondiente."
"Comprobante de pago Buenos días, cordial saludoA continuación, adjunto el pantallazo del comprobante de pago de los derechos de grado, el cual se canceló mediante la opción de pagos en línea, para dar continuación al proceso de requisitos de ***URL*** Marcela Amaya MurilloAntropología13/03/2026","Comprobante de pago Buenos días, cordial saludoA continuación, adjunto el pantallazo del comprobante de pago de los derechos de grado, el cual se canceló mediante la opción de pagos en línea, para dar continuación al proceso de requisitos de ***URL*** Marcela Amaya MurilloAntropología13/03/2026",5,Órdenes de pago,"Las solicitudes relacionadas con órdenes de pago deben ser revisadas de acuerdo con el tipo de trámite requerido. Se debe validar la información de la orden y, según el caso, gestionar su generación, modificación, consulta o corrección. Al usuario se le debe indicar el estado de la solicitud y las acciones necesarias para continuar el trámite."
"Solicitud de servicio técnico - Generación de recibo de pago para posgrado Buen día, señores de Mesa Técnica.
La presente es para solicitar información frente a la facturación para el pago de la matrícula del posgrado de Especialización en Derecho Procesal civil de la ciudad de Bogotá.
Lo anterior toda vez que, una vez ingresado a la plataforma Avante e intentar generar la factura, aparece lo siguiente:

Así las cosas, requiero su ayuda para el trámite en cuestión.
Para ello remito la información necesaria:
Daniel Alejandro Rojas MariñoPosgrado Especialización en Derecho Procesal Civil. Facultad de Derecho. Correo institucional: ***CORREO*** alterno: ***CORREO***: Egresado de pregrado. Estudiante de posgradoPregrado. En vísperas del posgrado 3045577994
Quedo atento.
Cordialmente,
Daniel Alejandro Rojas Mariño.","Solicitud de servicio técnico - Generación de recibo de pago para posgrado Buen día, señores de Mesa Técnica.
La presente es para solicitar información frente a la facturación para el pago de la matrícula del posgrado de Especialización en Derecho Procesal civil de la ciudad de Bogotá.
Lo anterior toda vez que, una vez ingresado a la plataforma Avante e intentar generar la factura, aparece lo siguiente:

Así las cosas, requiero su ayuda para el trámite en cuestión.
Para ello remito la información necesaria:
Daniel Alejandro Rojas MariñoPosgrado Especialización en Derecho Procesal Civil. Facultad de Derecho. Correo institucional: ***CORREO*** alterno: ***CORREO***: Egresado de pregrado. Estudiante de posgradoPregrado. En vísperas del posgrado 3045577994
Quedo atento.",9,Certificados académicos,"Los certificados académicos se gestionan de acuerdo con el tipo de certificación solicitada, como certificados de notas, estudios, título o terminación de materias. Se debe identificar el certificado requerido, verificar las condiciones para su expedición y orientar al usuario sobre el proceso correspondiente."
